State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,state_abbr
Arizona,Maricopa,2001,365,25,256,71,13,0,0,185,122,80,0,68,200,70,27,AZ
Ohio,Franklin,2001,365,58,263,35,9,0,0,187,105,66,0,0,86,278,1,OH
Oregon,Washington,2001,123,80,42,1,0,0,0,128,70,38,0,0,0,123,0,OR
Virginia,Loudoun,2001,365,221,116,20,8,0,0,197,97,45,0,121,164,80,0,VA
Arizona,Maricopa,2002,365,28,248,75,13,1,0,202,122,80,3,93,202,38,29,AZ
Ohio,Franklin,2002,365,43,265,30,26,1,0,214,129,64,0,0,103,261,1,OH
Oregon,Washington,2002,122,78,40,3,1,0,0,158,74,38,0,0,0,122,0,OR
Virginia,Loudoun,2002,363,206,95,39,22,1,0,215,126,46,0,113,178,72,0,VA
Arizona,Maricopa,2003,365,42,248,65,10,0,0,195,122,74,6,124,190,31,14,AZ
Ohio,Franklin,2003,365,44,287,27,5,2,0,225,97,63,0,0,68,294,3,OH
Oregon,Washington,2003,116,78,37,1,0,0,0,107,67,34,0,0,0,116,0,OR
Virginia,Loudoun,2003,365,234,112,16,2,1,0,212,77,43,0,122,149,94,0,VA
Arizona,Maricopa,2004,366,59,256,48,2,0,1,375,105,68,1,94,185,37,49,AZ
Ohio,Franklin,2004,366,76,266,23,1,0,0,151,90,62,0,0,62,301,3,OH
Oregon,Washington,2004,303,185,110,7,1,0,0,163,80,42,0,0,0,303,0,OR
Virginia,Loudoun,2004,365,243,108,12,1,1,0,202,80,42,0,125,146,94,0,VA
Arizona,Maricopa,2005,365,47,229,78,11,0,0,177,126,79,1,52,168,25,119,AZ
Ohio,Franklin,2005,365,188,134,36,6,1,0,201,105,50,13,0,169,85,98,OH
Oregon,Washington,2005,365,245,110,7,3,0,0,155,74,33,0,0,0,365,0,OR
Virginia,Loudoun,2005,348,236,99,13,0,0,0,140,74,33,0,184,68,96,0,VA
Arizona,Maricopa,2006,365,26,236,88,15,0,0,179,126,84,0,29,165,22,149,AZ
Ohio,Franklin,2006,365,206,134,23,2,0,0,154,93,47,10,0,165,90,100,OH
Oregon,Washington,2006,364,273,86,5,0,0,0,148,68,28,0,0,0,364,0,OR
Virginia,Loudoun,2006,355,230,105,18,2,0,0,192,86,44,0,101,162,92,0,VA
Arizona,Maricopa,2007,365,37,262,64,1,0,1,408,115,77,0,46,164,26,129,AZ
Ohio,Franklin,2007,364,192,131,35,6,0,0,172,105,48,48,0,177,83,56,OH
Oregon,Washington,2007,365,252,101,11,1,0,0,158,76,30,0,0,0,365,0,OR
Virginia,Loudoun,2007,363,222,109,27,5,0,0,164,97,44,0,110,181,72,0,VA
Arizona,Maricopa,2008,366,62,244,59,1,0,0,162,108,66,0,63,168,33,102,AZ
Ohio,Franklin,2008,366,210,137,18,1,0,0,174,84,47,102,0,175,86,3,OH
Oregon,Washington,2008,366,247,114,5,0,0,0,137,71,33,0,0,32,334,0,OR
Virginia,Loudoun,2008,366,248,102,13,3,0,0,187,74,40,0,107,179,80,0,VA
Arizona,Maricopa,2009,365,78,264,19,2,1,1,317,93,63,0,55,178,34,98,AZ
Ohio,Franklin,2009,360,238,117,5,0,0,0,129,71,43,97,0,166,96,1,OH
Oregon,Washington,2009,365,224,135,6,0,0,0,143,77,40,0,0,118,247,0,OR
Virginia,Loudoun,2009,362,279,83,0,0,0,0,97,64,36,0,106,173,83,0,VA
Arizona,Maricopa,2010,365,86,250,27,2,0,0,170,100,64,0,58,207,69,31,AZ
Ohio,Franklin,2010,365,129,217,18,1,0,0,156,84,56,1,0,127,234,3,OH
Oregon,Washington,2010,365,278,85,2,0,0,0,113,60,33,0,0,122,243,0,OR
Virginia,Loudoun,2010,363,245,107,10,1,0,0,166,74,42,0,105,183,75,0,VA
Arizona,Maricopa,2011,365,27,273,48,10,4,3,572,119,70,0,11,164,131,59,AZ
Ohio,Franklin,2011,365,114,237,10,4,0,0,156,80,55,0,0,85,280,0,OH
Oregon,Washington,2011,365,262,98,5,0,0,0,147,71,35,0,0,124,241,0,OR
Virginia,Loudoun,2011,365,265,93,6,1,0,0,151,67,38,0,108,172,85,0,VA
Arizona,Maricopa,2012,366,33,265,61,6,1,0,268,115,71,0,12,192,106,56,AZ
Ohio,Franklin,2012,366,117,225,21,2,1,0,201,90,55,0,0,117,247,2,OH
Oregon,Washington,2012,366,269,96,1,0,0,0,109,62,37,0,0,118,248,0,OR
Virginia,Loudoun,2012,363,274,85,4,0,0,0,129,71,38,0,106,186,71,0,VA
Arizona,Maricopa,2013,365,36,281,41,7,0,0,187,105,68,0,12,204,106,43,AZ
Ohio,Franklin,2013,365,155,204,6,0,0,0,136,69,52,0,1,90,274,0,OH
Oregon,Washington,2013,365,247,109,8,1,0,0,152,70,36,0,0,133,232,0,OR
Virginia,Loudoun,2013,365,300,63,2,0,0,0,115,55,35,0,112,170,83,0,VA
Arizona,Maricopa,2014,365,32,288,42,2,1,0,246,108,69,0,8,193,112,52,AZ
Ohio,Franklin,2014,365,129,230,6,0,0,0,115,71,54,0,6,62,296,1,OH
Oregon,Washington,2014,365,281,82,2,0,0,0,119,59,35,0,7,148,209,1,OR
Virginia,Loudoun,2014,355,285,69,1,0,0,0,105,58,40,0,98,185,72,0,VA
Arizona,Maricopa,2015,365,62,267,36,0,0,0,147,100,66,0,12,203,125,25,AZ
Ohio,Franklin,2015,365,166,194,5,0,0,0,112,70,52,0,17,98,250,0,OH
Oregon,Washington,2015,365,254,109,1,1,0,0,157,61,40,0,25,160,180,0,OR
Virginia,Loudoun,2015,361,294,63,4,0,0,0,115,60,38,0,118,167,76,0,VA
Arizona,Maricopa,2016,366,47,282,36,0,1,0,227,101,67,0,16,175,109,66,AZ
Ohio,Franklin,2016,366,220,137,9,0,0,0,126,66,46,0,20,145,201,0,OH
Oregon,Washington,2016,366,292,74,0,0,0,0,84,58,35,0,23,163,180,0,OR
Virginia,Loudoun,2016,366,302,63,1,0,0,0,112,58,36,0,107,189,70,0,VA
Arizona,Maricopa,2017,365,38,272,50,5,0,0,173,108,71,0,11,198,79,77,AZ
Ohio,Franklin,2017,365,227,135,3,0,0,0,112,62,46,0,11,149,202,3,OH
Oregon,Washington,2017,365,257,96,10,2,0,0,169,71,37,0,20,170,175,0,OR
Virginia,Loudoun,2017,365,297,68,0,0,0,0,100,57,38,0,87,213,65,0,VA
Arizona,Maricopa,2018,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96,AZ
Ohio,Franklin,2018,365,210,153,2,0,0,0,122,66,47,0,11,128,224,2,OH
Oregon,Washington,2018,365,260,98,7,0,0,0,150,64,36,0,25,102,238,0,OR
Virginia,Loudoun,2018,365,313,52,0,0,0,0,93,54,35,0,82,219,64,0,VA
Arizona,Maricopa,2019,365,50,277,38,0,0,0,147,101,67,0,2,204,92,67,AZ
Ohio,Franklin,2019,365,157,207,1,0,0,0,101,68,53,0,0,111,253,1,OH
Oregon,Washington,2019,365,268,96,1,0,0,0,102,62,37,0,8,96,260,1,OR
Virginia,Loudoun,2019,337,286,50,1,0,0,0,112,54,38,0,78,202,57,0,VA
Arizona,Maricopa,2020,366,11,154,60,66,75,0,282,216,112,0,0,271,63,32,AZ
Ohio,Franklin,2020,366,232,132,2,0,0,0,102,61,45,0,3,131,232,0,OH
Oregon,Washington,2020,366,265,91,2,0,2,6,595,61,34,0,4,122,240,0,OR
Virginia,Loudoun,2020,366,339,26,1,0,0,0,108,48,34,0,24,285,57,0,VA
Arizona,Maricopa,2021,365,12,128,91,61,73,0,297,213,122,0,0,295,27,43,AZ
Ohio,Franklin,2021,365,170,195,0,0,0,0,100,70,52,0,1,88,276,0,OH
Oregon,Washington,2021,365,276,89,0,0,0,0,100,58,36,0,4,139,222,0,OR
Virginia,Loudoun,2021,364,308,55,1,0,0,0,122,54,37,0,10,298,56,0,VA
Arizona,Maricopa,2022,365,27,242,73,17,6,0,264,136,75,0,1,204,83,77,AZ
Ohio,Franklin,2022,365,206,157,2,0,0,0,143,67,48,0,1,109,254,1,OH
Oregon,Washington,2022,365,244,118,1,2,0,0,164,67,37,0,4,130,231,0,OR
Virginia,Loudoun,2022,364,328,34,2,0,0,0,112,50,37,0,16,304,44,0,VA
Arizona,Maricopa,2023,365,41,256,61,7,0,0,183,119,72,0,0,193,91,81,AZ
Ohio,Franklin,2023,365,136,218,7,3,1,0,210,77,54,0,0,91,265,9,OH
Oregon,Washington,2023,365,269,94,2,0,0,0,115,59,36,0,4,142,219,0,OR
Virginia,Loudoun,2023,364,306,54,2,2,0,0,167,58,39,0,20,303,41,0,VA
Arizona,Maricopa,2024,366,33,260,65,7,1,0,261,113,77,0,0,207,94,65,AZ
Ohio,Franklin,2024,366,151,211,4,0,0,0,118,72,53,0,1,99,245,21,OH
Oregon,Washington,2024,366,309,55,2,0,0,0,105,53,33,0,2,183,181,0,OR
Virginia,Loudoun,2024,366,245,121,0,0,0,0,87,61,43,0,1,195,170,0,VA
Arizona,Maricopa,2025,304,50,219,29,4,1,1,366,101,71,0,0,190,37,77,AZ
Ohio,Franklin,2025,274,109,160,4,1,0,0,156,76,54,1,0,84,183,6,OH
Oregon,Washington,2025,182,154,28,0,0,0,0,88,54,36,1,0,108,73,0,OR
Virginia,Loudoun,2025,273,207,65,1,0,0,0,120,61,43,0,1,165,107,0,VA
